epoch, loss(train_no_dev), loss(dev)
1,0.9862012830045488,0.89186030626297
2,0.8680596119827695,0.7220581769943237
3,0.8248312473297119,0.6806051135063171
4,0.815539214346144,0.7674205303192139
5,0.7974826196829478,0.6841340661048889
6,0.7811794148551093,0.7791700959205627
7,0.7812324166297913,0.721008837223053
8,0.7520809670289358,0.8030834197998047
9,0.7624206062820222,0.7625746130943298
10,0.7515701618459489,0.7843585014343262
11,0.7251558502515157,0.6954841613769531
12,0.7113020569086075,0.724068820476532
13,0.7076857189337412,0.7164582014083862
14,0.6966721183723874,0.7208470106124878
15,0.6884415679507785,0.7070291042327881
16,0.6736147718297111,0.7990875840187073
17,0.674953430891037,0.708748996257782
18,0.6572039855851067,0.677467405796051
19,0.6531080222792096,0.8030784130096436
20,0.647428595357471,0.7656055688858032
21,0.6080587142043643,0.7002383470535278
22,0.6058370471000671,0.7068153619766235
23,0.5955514510472616,0.7549999952316284
24,0.5740798893902037,0.7641677856445312
25,0.592409665385882,0.7568520903587341
26,0.5747559716304144,0.7596936821937561
27,0.5604738609658347,0.7775930762290955
28,0.5580463194184833,0.7445259690284729
29,0.5555438664224412,0.7799122333526611
30,0.5880532330936856,0.7510200142860413
31,0.5407887895901998,0.7517536878585815
32,0.5388814426130719,0.7529687881469727
33,0.5461255494091246,0.7477279901504517
34,0.5182841089036729,0.7485705614089966
35,0.5352982580661774,0.777413010597229
36,0.5329335398144193,0.7245646119117737
37,0.5054055005311966,0.7805428504943848
38,0.50744452741411,0.7662176489830017
39,0.5188449886110094,0.7849465012550354
40,0.5007150885131624,0.8340224027633667
41,0.481063155664338,0.7981577515602112
42,0.48328163392013973,0.7805322408676147
43,0.4776867495642768,0.7939035296440125
44,0.46718597577677834,0.7885918617248535
45,0.45801722009976703,0.7825106978416443
46,0.46384691529803806,0.7758150696754456
47,0.45377476347817314,0.7960819602012634
48,0.44845187332895065,0.8512387871742249
49,0.44583192467689514,0.8052818179130554
50,0.44952119059032863,0.8200538158416748
51,0.45501092573006946,0.834270715713501
52,0.4491572231054306,0.8230657577514648
53,0.4409334295325809,0.8170396685600281
54,0.4487442109319899,0.8121413588523865
55,0.4428557753562927,0.796738862991333
56,0.42845677004920113,0.8059613108634949
57,0.4307144085566203,0.8362888097763062
58,0.4332316286034054,0.8265829682350159
59,0.4276787125402027,0.8544374704360962
60,0.42813388837708366,0.8273077607154846
61,0.4143545842832989,0.816386878490448
62,0.41129135257667965,0.8242769837379456
63,0.4188804088367356,0.8318970799446106
64,0.4214230577150981,0.8420320749282837
65,0.41788753204875523,0.8428338766098022
66,0.4018422845337126,0.8193895220756531
67,0.41064684258566964,0.8303561210632324
68,0.40563149087958866,0.8549175262451172
69,0.38180332134167355,0.8443194031715393
70,0.4072102490398619,0.8324286937713623
71,0.39654887053701615,0.86882483959198
72,0.4007387028800117,0.8409581780433655
73,0.3962681127919091,0.8534381985664368
74,0.3855892899963591,0.8611220717430115
75,0.4002806776099735,0.8524976968765259
76,0.3954828563663695,0.8476178646087646
77,0.3941630423069,0.8567134141921997
78,0.39294007254971397,0.8401809930801392
79,0.39132091485791737,0.8556182384490967
80,0.40837762090894913,0.8595076203346252
81,0.38408607244491577,0.8625426292419434
82,0.3863554232650333,0.863797128200531
83,0.37835491200288135,0.8606546521186829
84,0.3825022710694207,0.8569144010543823
85,0.37817147374153137,0.8742074370384216
86,0.38928006920549607,0.8655813932418823
87,0.38641927805211806,0.8688139915466309
88,0.3755776319238875,0.8768002390861511
89,0.38510389460457695,0.8617120981216431
90,0.36897682895263034,0.8566200137138367
91,0.3774723807970683,0.8593009114265442
92,0.3753723469045427,0.859081506729126
93,0.37931113441785175,0.8668835163116455
94,0.37603538897302413,0.8579667210578918
95,0.36772390868928695,0.8742985129356384
96,0.3716818077696694,0.8618693947792053
97,0.36462967925601536,0.8738988041877747
98,0.36923568695783615,0.8719441890716553
99,0.35578099141518277,0.8730135560035706
100,0.37534818218814003,0.8670195937156677
