epoch, loss(train_no_dev), loss(dev)
1,0.9866966439618005,0.9526562094688416
2,0.8958706325954862,0.7182655930519104
3,0.8585948265261121,0.7294947504997253
4,0.8022982842392392,0.6748681664466858
5,0.7804260419474708,0.7073049545288086
6,0.7841936217414008,0.7102820873260498
7,0.7799102183845308,0.768235445022583
8,0.7757946302493414,0.7885093688964844
9,0.7554960565434562,0.7055080533027649
10,0.7355370024840037,0.7207176089286804
11,0.7198444157838821,0.7383431792259216
12,0.7233821551005045,0.7368648648262024
13,0.7055959850549698,0.6854944825172424
14,0.7003225783507029,0.7061492800712585
15,0.7221249805556403,0.7618904113769531
16,0.6672502060731252,0.6906471252441406
17,0.6603739543093575,0.68897944688797
18,0.6626157081789441,0.7488080263137817
19,0.6457014514340295,0.7503381371498108
20,0.6351021478573481,0.70632404088974
21,0.599786596165763,0.7385814189910889
22,0.6163544472720888,0.7539786696434021
23,0.5915388315916061,0.7576906085014343
24,0.6105649305714501,0.7011359333992004
25,0.5925808515813615,0.68730628490448
26,0.5879542993174659,0.7208203077316284
27,0.5676782429218292,0.6849764585494995
28,0.561684744225608,0.7137262225151062
29,0.582483732038074,0.701708197593689
30,0.5719892183939616,0.7561617493629456
31,0.5632083151075575,0.7617667317390442
32,0.5462196038828956,0.7171117067337036
33,0.5498642358514998,0.7215865254402161
34,0.5563305020332336,0.9069518446922302
35,0.5548699117369122,0.7035787105560303
36,0.5317385792732239,0.7292064428329468
37,0.5203218145502938,0.7608233690261841
38,0.5207778215408325,0.7440975904464722
39,0.49198583761850995,0.7185302376747131
40,0.5104709963003794,0.7025485038757324
41,0.5001265224483278,0.7181901335716248
42,0.48109394477473366,0.676345944404602
43,0.4855770435598161,0.7001277804374695
44,0.5011618766519759,0.7865961194038391
45,0.4962391191058689,0.8381243348121643
46,0.47807711362838745,0.7900450825691223
47,0.46114468408955467,0.7450526356697083
48,0.4679738912317488,0.76069176197052
49,0.4769211841954125,0.7276103496551514
50,0.45714449054665035,0.7501379251480103
51,0.4568891127904256,0.7572870850563049
52,0.445530010594262,0.7860685586929321
53,0.45903243621190387,0.7647596001625061
54,0.45017530686325496,0.7687729597091675
55,0.4408354212840398,0.831313967704773
56,0.4504176957739724,0.7840309739112854
57,0.45030176473988426,0.7950314283370972
58,0.45295187996493447,0.7338438034057617
59,0.4276886035998662,0.7364873886108398
60,0.4281572649876277,0.7717892527580261
61,0.42254193292723763,0.7568308115005493
62,0.42085523241096073,0.7734760046005249
63,0.42516847120391,0.7591120004653931
64,0.42251648671097225,0.7455528974533081
65,0.4133412010139889,0.7668642997741699
66,0.41272619035508895,0.7508152723312378
67,0.4237642072969013,0.753167986869812
68,0.4190351416667302,0.7881680727005005
69,0.41039623816808063,0.7622227072715759
70,0.3992579331000646,0.7523069977760315
71,0.4206577324204975,0.7791174650192261
72,0.4056130018499162,0.7655810117721558
73,0.39466120799382526,0.7529635429382324
74,0.40561895072460175,0.7851248383522034
75,0.40435989366637337,0.7926086783409119
76,0.39433856474028695,0.7778691053390503
77,0.3963400771220525,0.8160396218299866
78,0.39525587525632644,0.7964100241661072
79,0.3921343973941273,0.7953587770462036
80,0.39649372630649143,0.8160703182220459
81,0.40218758831421536,0.7930403351783752
82,0.38166940212249756,0.7854179739952087
83,0.40282782249980503,0.7789155840873718
84,0.39265281127558815,0.8010048866271973
85,0.377721788154708,0.7902731895446777
86,0.37799881564246285,0.7978042960166931
87,0.3687756326463487,0.7938715815544128
88,0.3898888412449095,0.8007660508155823
89,0.38139987488587695,0.8035464286804199
90,0.38848736385504407,0.7928009629249573
91,0.3872215400139491,0.7892881035804749
92,0.380164901415507,0.7899362444877625
93,0.3910338481267293,0.7923720479011536
94,0.38327884508503807,0.806574285030365
95,0.37554624097214806,0.8077048659324646
96,0.40351549949910903,0.786841094493866
97,0.3844127588801914,0.782837986946106
98,0.3817877819140752,0.7974188923835754
99,0.3757115867402818,0.8120807409286499
100,0.3865644584099452,0.787011444568634
