epoch, loss(train_no_dev), loss(dev)
1,0.9731812510225508,0.8740260601043701
2,0.9352137645085653,0.8496993184089661
3,0.923080219162835,0.8416658639907837
4,0.9143169687853919,0.8411626815795898
5,0.9109959370560117,0.8373585343360901
6,0.9037944210900201,0.8309580087661743
7,0.8995818065272437,0.8336874842643738
8,0.8978019224272834,0.8354498147964478
9,0.8935364517900679,0.8346952199935913
10,0.8905773493978713,0.8319613337516785
11,0.8925679292943742,0.8317413330078125
12,0.8871435092555152,0.8288773894309998
13,0.8840199841393365,0.8289469480514526
14,0.8842507435215844,0.8302574157714844
15,0.8818977938758003,0.8277373909950256
16,0.8790075480937958,0.8266469240188599
17,0.8802022602823045,0.8310100436210632
18,0.8777303795019785,0.8282886147499084
19,0.8821114533477359,0.8253257870674133
20,0.8758352531327142,0.8282561898231506
21,0.8734974563121796,0.8246846199035645
22,0.8703520629141066,0.8236735463142395
23,0.8714709613058302,0.8265409469604492
24,0.8684201969040765,0.8267297744750977
25,0.8668824632962545,0.8249186873435974
26,0.8670180473062727,0.8269189596176147
27,0.8637423184182909,0.8256686329841614
28,0.8618178400728438,0.8295707702636719
29,0.8635630541377597,0.8241934776306152
30,0.8639694253603617,0.828181803226471
31,0.8602387507756551,0.8269463777542114
32,0.8640707035859426,0.8270149230957031
33,0.8628439505894979,0.822754979133606
34,0.8641815152433183,0.8272777199745178
35,0.8617377744780647,0.8293546438217163
36,0.8590263856781853,0.8275985717773438
37,0.8600237435764737,0.822874903678894
38,0.860769831471973,0.828025758266449
39,0.8603324890136719,0.8272136449813843
40,0.8568827741675906,0.8260647058486938
41,0.8550935486952463,0.824183464050293
42,0.8540432982974582,0.8240366578102112
43,0.8513319558567471,0.8276530504226685
44,0.8528477582666609,0.8244198560714722
45,0.8528197970655229,0.8265990614891052
46,0.8541217876805199,0.8264193534851074
47,0.8501785861121284,0.824600100517273
48,0.8505742483668857,0.826326847076416
49,0.8506811128722297,0.8239748477935791
50,0.8483551839987437,0.8272282481193542
51,0.8486801087856293,0.8263847231864929
52,0.848619325293435,0.8258172273635864
53,0.8493499159812927,0.8270789980888367
54,0.8431715104315016,0.8275054097175598
55,0.8461733957131704,0.8257077932357788
56,0.8489934305349985,0.8287741541862488
57,0.8471125000052981,0.82647705078125
58,0.8449007537629869,0.8310260772705078
59,0.8468846248255836,0.8264856338500977
60,0.8433535860644447,0.8273351788520813
61,0.8431221710311042,0.8275493383407593
62,0.8384989036454095,0.8251982927322388
63,0.8433504336410098,0.828885018825531
64,0.8422917624314626,0.8270381689071655
65,0.8413090838326348,0.8282097578048706
66,0.841507269276513,0.830650806427002
67,0.8424173825316958,0.8282329440116882
68,0.8437656528419919,0.8264653086662292
69,0.8422292669614156,0.8282370567321777
70,0.8415500289864011,0.8293842673301697
71,0.839686695072386,0.8296249508857727
72,0.8375348250071207,0.8306995630264282
73,0.8389458590083652,0.8290406465530396
74,0.8417595194445716,0.8308112025260925
75,0.8426486783557467,0.8301002383232117
76,0.8408423695299361,0.8317843079566956
77,0.8398956093523238,0.8285660147666931
78,0.8397089905209012,0.829527735710144
79,0.8374186257521311,0.831738293170929
80,0.8392643200026618,0.8298569321632385
81,0.8368494477536943,0.8295274972915649
82,0.8382131887806786,0.8314077854156494
83,0.8375070028834872,0.8302661180496216
84,0.8385363452964358,0.8303912878036499
85,0.8368443118201362,0.8345227241516113
86,0.8365101946724786,0.8322426676750183
87,0.8355074690447913,0.8300334811210632
88,0.8372309572166867,0.8311283588409424
89,0.8344046440389421,0.8310328125953674
90,0.8359310428301493,0.8317445516586304
91,0.8377403815587362,0.8319143056869507
92,0.8352590534422133,0.8315281867980957
93,0.8343442810906304,0.8311285376548767
94,0.8368464377191331,0.8315523266792297
95,0.834756440586514,0.832454264163971
96,0.833828866481781,0.832035481929779
97,0.8348908027013143,0.8315175175666809
98,0.8349032203356425,0.8322605490684509
99,0.8359690242343478,0.8324145078659058
100,0.8380280368857913,0.8312962651252747
